video_id,video_name,file_name,gloss,phrase,num_words,variations,num_variations,video_length,resolution,frame_rate,duplicate
687,وزارة الأشغال - وزارة البنية التحتية,687_وزارة الأشغال - وزارة البنية التحتية.mp4,وزارة الأشغال,وزارة الأشغال,2,وزارة البنية التحتية|وزارة تطوير البنية التحتية|وزاره الاشغال,3,,,,False
688,سبورة,688_سبورة.mp4,سبورة,سبورة,1,سبورتا|سبورات|سبورتين|سبورتي|سبورتان|سبوره,6,,,,False
689,هيئة الهلال الأحمر الإماراتي,689_هيئة الهلال الأحمر الإماراتي.mp4,هيئة الهلال الأحمر الإماراتي,هيئة الهلال الأحمر الإماراتي,4,هيئه الهلال الاحمر الاماراتي,1,,,,False
690,دائرة,690_دائرة.mp4,دائرة,دائرة,1,دائرتان|دائرا|دائر|دائري|دائرتا|دائرين|دائرتي|دائرون|دائره|دائرو|دوائر|دائران|دائرتين|دائرات,14,,,,False
691,صف دراسي,691_صف دراسي.mp4,صف دراسي,صف دراسي,2,,0,,,,False
692,المدينة الجامعية بالشارقة,692_المدينة الجامعية بالشارقة.mp4,المدينة الجامعية بالشارقة,المدينة الجامعية بالشارقة,3,المدينه الجامعيه بالشارقه,1,,,,False
693,هيئة المياه والكهرباء,693_هيئة المياه والكهرباء.mp4,هيئة المياه والكهرباء,هيئة المياه والكهرباء,3,هيئه المياه والكهرباء,1,,,,False
694,كلية,694_كلية.mp4,كلية,كلية,1,تاكلون|اكلتما|كليي|ليتا|اكلا|كليتا|تاكلي|ليتين|لوى|تاكلين|اكلت|اكلوا|ليتان|كلوه|كلوا|اكلتم|كلوتين|كلوتان|ناكل|كلوتي|كليتي|ياكل|كليات|كلوات|تاكلا|كليه|ياكلون|تاكلوا|اكلنا|اكلتن|تاكل|تاكلان|ليه|ياكلا|ياكلن|كل|تاكلن|كليان|كليين|كليتان|كليتين|كليا|ليتي|اكلن|ياكلان|اكلتا|كلي|ليا|ياكلوا|كلوتا|لي|اكل|كلى,53,,,,False
695,صندوق الزكاة,695_صندوق الزكاة.mp4,صندوق الزكاة,صندوق الزكاة,2,صندوق الزكاه,1,,,,False
696,كمبيوتر - حاسب آلي,696_كمبيوتر - حاسب آلي.mp4,كمبيوتر,كمبيوتر,1,كمبيوترين|حاسب آلي|كومبيوتران|كومبيوترين|كمبيوترات|كومبيوتري|كمبيوتري|كمبيوتران|كمبيوترا|كومبيوتر|كومبيوترات|كومبيوترا,12,,,,False
